Date,Open,High,Low,Close,Volume
2023-01-03,100.00,102.50,99.50,101.25,1000000
2023-01-04,101.25,103.00,100.50,102.75,1100000
2023-01-05,102.75,104.00,101.00,102.00,950000
2023-01-06,102.00,103.50,101.50,103.25,1050000
2023-01-09,103.25,105.00,102.75,104.50,1200000
2023-01-10,104.50,106.25,103.50,105.75,1150000
2023-01-11,105.75,107.00,104.50,106.25,1080000
2023-01-12,106.25,108.50,105.75,108.00,1300000
2023-01-13,108.00,109.25,106.50,107.50,1100000
2023-01-17,107.50,108.75,106.00,108.25,980000
2023-01-18,108.25,109.50,106.75,107.00,1020000
2023-01-19,107.00,108.00,105.50,106.25,1150000
2023-01-20,106.25,108.50,105.75,108.00,1200000
2023-01-23,108.00,110.25,107.50,109.75,1350000
2023-01-24,109.75,111.00,108.25,110.50,1280000
2023-01-25,110.50,111.75,108.00,108.75,1100000
2023-01-26,108.75,110.50,108.00,110.00,1050000
2023-01-27,110.00,112.25,109.50,111.75,1400000
2023-01-30,111.75,113.00,110.00,111.25,1200000
2023-01-31,111.25,112.50,110.25,112.00,1150000
2023-02-01,112.00,114.50,111.50,114.00,1500000
2023-02-02,114.00,115.25,112.75,113.50,1300000
2023-02-03,113.50,114.75,111.00,111.75,1250000
2023-02-06,111.75,113.00,110.50,112.50,1100000
2023-02-07,112.50,114.00,111.75,113.75,1180000
2023-02-08,113.75,115.50,113.00,114.25,1220000
2023-02-09,114.25,115.00,112.50,113.00,1050000
2023-02-10,113.00,114.25,111.75,112.25,980000
2023-02-13,112.25,113.50,111.00,113.00,1020000
2023-02-14,113.00,115.00,112.50,114.50,1150000
2023-02-15,114.50,116.25,114.00,115.75,1300000
2023-02-16,115.75,116.50,113.50,114.00,1100000
2023-02-17,114.00,115.25,112.75,113.25,1050000
2023-02-21,113.25,114.50,111.50,112.00,1000000
2023-02-22,112.00,113.00,110.25,110.75,1150000
2023-02-23,110.75,112.50,110.00,111.50,1080000
2023-02-24,111.50,112.25,109.50,110.00,1200000
2023-02-27,110.00,111.75,108.50,109.25,1100000
2023-02-28,109.25,110.50,108.00,109.75,1050000
2023-03-01,109.75,111.00,108.25,110.50,1150000
2023-03-02,110.50,112.75,110.00,112.25,1250000
2023-03-03,112.25,114.00,111.50,113.50,1300000
2023-03-06,113.50,115.25,113.00,114.75,1200000
2023-03-07,114.75,116.00,113.25,113.75,1100000
2023-03-08,113.75,115.00,112.50,114.50,1150000
2023-03-09,114.50,115.75,112.00,112.50,1200000
2023-03-10,112.50,113.50,109.00,109.75,1500000
2023-03-13,109.75,111.00,107.50,110.25,1400000
2023-03-14,110.25,112.50,109.50,112.00,1250000
2023-03-15,112.00,113.75,110.25,111.50,1180000
2023-03-16,111.50,113.00,110.00,112.75,1200000
2023-03-17,112.75,114.50,111.75,113.25,1150000
2023-03-20,113.25,115.00,112.50,114.50,1220000
2023-03-21,114.50,116.25,114.00,115.75,1300000
2023-03-22,115.75,117.00,114.50,115.00,1100000
2023-03-23,115.00,116.50,113.75,116.00,1180000
2023-03-24,116.00,117.25,115.00,116.50,1200000
2023-03-27,116.50,118.00,115.50,117.25,1250000
2023-03-28,117.25,118.50,116.00,117.00,1100000
2023-03-29,117.00,118.75,116.50,118.25,1300000
2023-03-30,118.25,119.50,117.25,119.00,1350000
2023-03-31,119.00,120.25,118.00,119.50,1400000
2023-04-03,119.50,121.00,118.75,120.25,1300000
2023-04-04,120.25,121.50,119.00,119.75,1100000
2023-04-05,119.75,120.75,118.25,118.50,1150000
2023-04-06,118.50,120.00,117.75,119.50,1200000
2023-04-10,119.50,121.25,119.00,120.75,1250000
2023-04-11,120.75,122.00,119.50,121.25,1300000
2023-04-12,121.25,122.50,119.75,120.25,1100000
2023-04-13,120.25,122.00,119.50,121.50,1200000
2023-04-14,121.50,123.00,120.75,122.25,1350000
2023-04-17,122.25,123.75,121.50,123.00,1280000
2023-04-18,123.00,124.50,122.00,123.75,1320000
2023-04-19,123.75,124.75,122.25,122.50,1100000
2023-04-20,122.50,123.75,121.00,121.75,1150000
2023-04-21,121.75,123.00,120.50,122.50,1180000
2023-04-24,122.50,124.00,121.75,123.25,1200000
2023-04-25,123.25,124.50,121.50,122.00,1100000
2023-04-26,122.00,123.25,120.75,123.00,1150000
2023-04-27,123.00,124.75,122.50,124.25,1300000
2023-04-28,124.25,125.50,123.00,124.75,1250000
2023-05-01,124.75,126.00,123.75,125.25,1280000
2023-05-02,125.25,126.50,124.00,124.50,1100000
2023-05-03,124.50,125.75,123.25,125.00,1150000
2023-05-04,125.00,126.25,124.00,125.50,1200000
2023-05-05,125.50,127.50,125.00,127.00,1400000
2023-05-08,127.00,128.25,126.00,127.50,1350000
2023-05-09,127.50,128.50,126.25,126.75,1200000
2023-05-10,126.75,128.00,125.50,127.25,1250000
2023-05-11,127.25,128.50,126.00,126.50,1100000
2023-05-12,126.50,127.75,125.50,127.00,1150000
2023-05-15,127.00,128.50,126.50,128.00,1280000
2023-05-16,128.00,129.25,127.00,128.50,1300000
2023-05-17,128.50,130.00,127.75,129.50,1400000
2023-05-18,129.50,131.00,128.75,130.25,1450000
2023-05-19,130.25,131.50,129.00,130.75,1350000
2023-05-22,130.75,132.00,130.00,131.25,1380000
2023-05-23,131.25,132.50,130.00,130.50,1200000
2023-05-24,130.50,131.75,129.25,129.75,1150000
2023-05-25,129.75,131.00,128.50,130.50,1200000
2023-05-26,130.50,132.25,130.00,131.75,1350000
