Date,Open,High,Low,Close,Volume
2014-01-02,75.0,76.66,73.34,75.0,57337031
2014-01-03,75.0,80.02,71.41,76.37,62930942
2014-01-06,76.37,78.29,73.75,75.65,77038443
2014-01-07,75.65,79.22,72.26,75.82,114955482
2014-01-08,75.82,76.33,75.44,75.96,53392242
2014-01-09,75.96,77.73,75.03,76.79,109314224
2014-01-10,76.79,79.75,74.96,77.89,92068458
2014-01-13,77.89,79.51,76.83,78.45,119910546
2014-01-14,78.45,80.65,77.74,79.93,74015360
2014-01-15,79.93,84.52,74.2,78.71,110221080
2014-01-16,78.71,81.29,74.92,77.45,48033089
2014-01-17,77.45,79.53,76.06,78.13,73140641
2014-01-20,78.13,80.58,78.08,80.53,99963504
2014-01-21,80.53,82.89,77.39,79.72,30013849
2014-01-22,79.72,81.29,77.44,79.0,53792915
2014-01-23,79.0,80.91,78.07,79.97,103094821
2014-01-24,79.97,80.7,79.1,79.82,101823514
2014-01-27,79.82,82.23,76.31,78.69,92016875
2014-01-28,78.69,78.81,78.22,78.34,55187272
2014-01-29,78.34,80.78,78.05,80.48,95068760
2014-01-30,80.48,83.13,78.18,80.82,34221964
2014-01-31,80.82,81.57,78.36,79.1,88610400
2014-02-03,79.1,84.22,76.35,81.39,43634656
2014-02-04,81.39,82.55,80.76,81.92,36557159
2014-02-05,81.92,83.3,81.01,82.39,43475742
2014-02-06,82.39,85.58,80.4,83.56,30560426
2014-02-07,83.56,87.62,79.29,83.34,64823089
2014-02-10,83.34,83.98,82.07,82.7,39770386
2014-02-11,82.7,87.51,76.38,81.1,112527507
2014-02-12,81.1,83.62,78.06,80.57,50661656
2014-02-13,80.57,82.16,77.69,79.26,104046931
2014-02-14,79.26,80.42,76.98,78.13,40762593
2014-02-17,78.13,80.03,75.01,76.87,33043883
2014-02-18,76.87,77.33,74.2,74.64,38932038
2014-02-19,74.64,74.8,72.75,72.91,98464114
2014-02-20,72.91,73.0,72.32,72.42,103663533
2014-02-21,72.42,74.51,71.72,73.8,101092421
2014-02-24,73.8,75.94,72.37,74.49,75042199
2014-02-25,74.49,78.56,71.02,75.06,86586502
2014-02-26,75.06,77.91,74.75,77.59,103766525
2014-02-27,77.59,78.78,76.5,77.68,110913992
2014-02-28,77.68,78.35,75.29,75.94,35832749
2014-03-03,75.94,79.54,73.76,77.33,64490538
