Date,Open,High,Low,Close,Volume
2014-01-02,800.0,853.71,746.29,800.0,2163673490
2014-01-03,800.0,811.68,794.23,805.87,2245373013
2014-01-04,805.87,856.74,798.36,848.83,2618940384
2014-01-05,848.83,871.92,795.44,817.68,2880974494
2014-01-06,817.68,847.01,785.41,814.62,3129120445
2014-01-07,814.62,902.84,798.0,884.78,1003107694
2014-01-08,884.78,963.44,746.18,818.98,3619359506
2014-01-09,818.98,919.86,721.13,821.68,1518760674
2014-01-10,821.68,867.08,793.06,837.89,2131726362
2014-01-11,837.89,881.51,797.35,840.83,3206722743
2014-01-12,840.83,953.16,804.02,913.18,2162426989
2014-01-13,913.18,942.84,890.73,920.22,2432622515
2014-01-14,920.22,950.2,886.02,915.86,1826024786
2014-01-15,915.86,1032.86,854.87,968.37,2277956918
2014-01-16,968.37,1004.14,951.13,986.58,2765042955
2014-01-17,986.58,995.24,968.26,976.84,2323629260
2014-01-18,976.84,1053.34,872.18,946.3,1126924277
2014-01-19,946.3,986.62,930.9,970.82,1784221446
2014-01-20,970.82,1010.11,880.34,917.47,1104840070
2014-01-21,917.47,1015.51,906.07,1003.05,1307039773
2014-01-22,1003.05,1130.85,929.04,1053.14,2711466939
2014-01-23,1053.14,1104.41,1007.67,1058.7,3121154471
2014-01-24,1058.7,1079.6,1035.96,1056.83,1682123845
2014-01-25,1056.83,1140.33,996.84,1079.08,1259037251
2014-01-26,1079.08,1134.79,1038.39,1093.56,3235422540
2014-01-27,1093.56,1304.99,884.56,1095.61,1821081353
2014-01-28,1095.61,1232.67,1000.33,1134.05,3833155566
2014-01-29,1134.05,1209.77,1115.58,1190.39,2429452840
2014-01-30,1190.39,1250.16,1159.98,1219.02,3220904715
2014-01-31,1219.02,1248.32,1151.94,1180.31,2848895752
2014-02-01,1180.31,1310.86,996.64,1120.59,2070218355
2014-02-02,1120.59,1172.77,986.83,1035.02,2169487615
2014-02-03,1035.02,1096.07,999.91,1060.11,2206447435
2014-02-04,1060.11,1084.74,1008.34,1032.33,3634306056
2014-02-05,1032.33,1121.33,959.26,1047.21,2403442782
2014-02-06,1047.21,1067.35,1000.74,1020.36,2409984412
2014-02-07,1020.36,1076.85,994.88,1050.61,2954140419
2014-02-08,1050.61,1079.78,921.53,947.85,3439197724
2014-02-09,947.85,1021.79,882.8,956.16,3897969652
2014-02-10,956.16,968.67,903.45,915.42,1450201561
2014-02-11,915.42,919.37,894.5,898.37,3988921501
2014-02-12,898.37,969.68,801.77,870.9,2853132059
2014-02-13,870.9,1018.19,778.43,920.46,3279791727
2014-02-14,920.46,935.23,915.87,930.59,2866681217
2014-02-15,930.59,977.05,877.15,923.25,3181583673
2014-02-16,923.25,983.84,893.55,953.17,2975219611
2014-02-17,953.17,963.51,937.53,947.81,3412115476
2014-02-18,947.81,966.08,938.47,956.65,2080208053
2014-02-19,956.65,969.66,954.41,967.39,1036201387
2014-02-20,967.39,1056.63,890.99,979.3,2835630361
2014-02-21,979.3,1121.93,887.36,1025.65,2106366049
2014-02-22,1025.65,1180.5,951.75,1101.16,3877312672
2014-02-23,1101.16,1103.53,1090.57,1092.92,2825955659
2014-02-24,1092.92,1098.17,1073.85,1079.03,2288351490
2014-02-25,1079.03,1139.28,1046.31,1105.76,1314821288
2014-02-26,1105.76,1269.88,940.92,1104.92,1565616148
2014-02-27,1104.92,1256.29,937.2,1085.97,2065740396
2014-02-28,1085.97,1231.47,856.9,989.46,1469819260
2014-03-01,989.46,999.15,966.18,975.73,1473707843
2014-03-02,975.73,1032.1,935.45,991.17,1286244424
2014-03-03,991.17,1025.69,946.51,980.65,3770607638
2014-03-04,980.65,989.11,974.84,983.28,2053165397
2014-03-05,983.28,1026.95,892.35,933.82,1294138053
2014-03-06,933.82,1116.2,813.43,988.72,3807192102
2014-03-07,988.72,1037.06,916.39,963.49,2641522097
2014-03-08,963.49,1034.93,851.33,919.51,1766628979
2014-03-09,919.51,1050.3,831.28,958.34,2953479522
2014-03-10,958.34,974.04,951.97,967.6,3956332925
2014-03-11,967.6,1009.86,911.11,952.73,1465460757
