Date,Open,High,Low,Close,Volume
2014-01-02,183.0,184.52,181.48,183.0,113275750
2014-01-03,183.0,190.23,177.09,184.29,97275425
2014-01-06,184.29,186.76,181.11,183.57,90121580
2014-01-07,183.57,186.72,179.23,182.36,152976203
2014-01-08,182.36,182.59,180.93,181.16,92490380
2014-01-09,181.16,187.01,176.28,182.1,129187425
2014-01-10,182.1,184.1,182.09,184.09,79973083
2014-01-13,184.09,184.78,183.32,184.01,64909934
2014-01-14,184.01,191.9,178.21,186.03,128260402
2014-01-15,186.03,188.93,183.8,186.69,87864271
2014-01-16,186.69,187.72,183.93,184.96,111431061
2014-01-17,184.96,185.51,181.59,182.13,68417039
2014-01-20,182.13,190.76,175.48,184.03,58740322
2014-01-21,184.03,184.9,182.77,183.63,82284500
2014-01-22,183.63,185.56,180.11,182.02,51096730
2014-01-23,182.02,189.5,180.32,187.75,52889687
2014-01-24,187.75,189.75,185.03,187.01,100194823
2014-01-27,187.01,196.61,176.58,186.13,50690230
2014-01-28,186.13,188.77,185.82,188.46,97394077
2014-01-29,188.46,189.71,187.65,188.91,139546782
2014-01-30,188.91,190.8,186.96,188.85,68429867
2014-01-31,188.85,192.06,188.36,191.56,150265984
2014-02-03,191.56,193.12,185.73,187.25,110477599
2014-02-04,187.25,187.86,185.6,186.2,104109399
2014-02-05,186.2,188.34,181.1,183.2,69172764
2014-02-06,183.2,184.36,180.28,181.42,80105025
2014-02-07,181.42,184.01,178.46,181.04,138157222
2014-02-10,181.04,182.58,178.87,180.4,68048767
2014-02-11,180.4,183.45,177.94,180.98,127227474
2014-02-12,180.98,187.46,176.23,182.66,47220335
2014-02-13,182.66,190.5,179.14,186.9,85163602
2014-02-14,186.9,190.29,185.21,188.59,98058307
2014-02-17,188.59,195.02,181.6,188.01,84847750
2014-02-18,188.01,190.47,186.28,188.74,90601099
2014-02-19,188.74,191.22,183.57,186.02,78428110
2014-02-20,186.02,190.63,181.92,186.52,71230736
2014-02-21,186.52,188.86,185.46,187.8,107149372
2014-02-24,187.8,190.61,184.21,187.02,57840599
2014-02-25,187.02,188.83,185.73,187.54,116479497
2014-02-26,187.54,189.56,185.39,187.42,94606609
2014-02-27,187.42,188.46,185.82,186.86,81732544
2014-02-28,186.86,193.35,184.52,190.96,123912636
2014-03-03,190.96,193.55,190.46,193.05,82771530
2014-03-04,193.05,195.46,190.0,192.4,106617781
2014-03-05,192.4,196.21,182.08,185.75,138241898
2014-03-06,185.75,190.34,184.03,188.59,80690572
2014-03-07,188.59,189.18,186.55,187.14,136599042
2014-03-10,187.14,191.01,184.67,188.53,148273594
2014-03-11,188.53,192.44,184.04,187.93,62031870
2014-03-12,187.93,193.42,185.61,191.07,157774245
2014-03-13,191.07,195.01,188.74,192.66,137263211
2014-03-14,192.66,193.41,191.39,192.13,156532983
2014-03-17,192.13,194.91,188.64,191.41,83337574
2014-03-18,191.41,193.56,189.71,191.85,93316091
2014-03-19,191.85,195.78,184.88,188.75,74141651
2014-03-20,188.75,189.22,187.98,188.44,116951175
2014-03-21,188.44,189.37,187.28,188.21,119848526
2014-03-24,188.21,191.5,183.29,186.55,49987755
2014-03-25,186.55,187.5,183.98,184.93,113469022
2014-03-26,184.93,191.85,181.35,188.21,79304668
2014-03-27,188.21,189.67,186.24,187.68,63300329
2014-03-28,187.68,190.73,184.52,187.57,151343423
2014-03-31,187.57,188.42,186.83,187.68,128678793
2014-04-01,187.68,191.26,183.03,186.6,113758271
2014-04-02,186.6,188.77,181.08,183.21,62055562
2014-04-03,183.21,183.71,182.73,183.23,92983919
